Song and Artist,Ranking Grouping,Song Weeks on Chart
Espresso (Sabrina Carpenter),Top 10,33
Please Please Please (Sabrina Carpenter),Top 10,19
Taste (Sabrina Carpenter),Top 10,14
Manchild (Sabrina Carpenter),Top 10,4
Feather (Sabrina Carpenter),Other Ranking,37
Espresso (Sabrina Carpenter),Other Ranking,32
Bed Chem (Sabrina Carpenter),Other Ranking,32
Taste (Sabrina Carpenter),Other Ranking,24
Please Please Please (Sabrina Carpenter),Other Ranking,19
Nonsense (Sabrina Carpenter),Other Ranking,19
Juno (Sabrina Carpenter),Other Ranking,17
Busy Woman (Sabrina Carpenter),Other Ranking,16
Good Graces (Sabrina Carpenter),Other Ranking,13
Sharpest Tool (Sabrina Carpenter),Other Ranking,7
Coincidence (Sabrina Carpenter),Other Ranking,7
Slim Pickins (Sabrina Carpenter),Other Ranking,5
Dumb & Poetic (Sabrina Carpenter),Other Ranking,3
Don't Smile (Sabrina Carpenter),Other Ranking,3
Skin (Sabrina Carpenter),Other Ranking,3
Lie To Girls (Sabrina Carpenter),Other Ranking,2
Manchild (Sabrina Carpenter),Other Ranking,2
15 Minutes (Sabrina Carpenter),Other Ranking,1
Couldn't Make It Any Harder (Sabrina Carpenter),Other Ranking,1
Bad Reviews (Sabrina Carpenter),Other Ranking,1
