album_id,album_name,album_type,release_date,total_tracks,album_url
1aqg30bNvLSWgShZgX4oop,Man’s Best Friend,album,2025-08-29,12,https://open.spotify.com/album/1aqg30bNvLSWgShZgX4oop
3WzBIQmn2hrulLeTY9smkk,Short n' Sweet (Deluxe),album,2025-02-14,17,https://open.spotify.com/album/3WzBIQmn2hrulLeTY9smkk
3iPSVi54hsacKKl1xIR2eH,Short n' Sweet,album,2024-08-23,12,https://open.spotify.com/album/3iPSVi54hsacKKl1xIR2eH
2g4aJTa5ejGpp0O0GKzWAQ,emails i can’t send fwd:,album,2023-03-17,17,https://open.spotify.com/album/2g4aJTa5ejGpp0O0GKzWAQ
5kDmlA2g9Y1YCbNo2Ufxlz,emails i can't send,album,2022-07-15,13,https://open.spotify.com/album/5kDmlA2g9Y1YCbNo2Ufxlz
19KilSbbeHRFFZM7ChwTdP,Singular Act II,album,2019-07-19,9,https://open.spotify.com/album/19KilSbbeHRFFZM7ChwTdP
29mlGxS6kxq1EHxlX1EAZK,Singular Act I,album,2018-11-09,8,https://open.spotify.com/album/29mlGxS6kxq1EHxlX1EAZK
7iOAJaGBmk67o337zaqt0R,EVOLution,album,2016-10-14,10,https://open.spotify.com/album/7iOAJaGBmk67o337zaqt0R
55huyEjfSVsk9nnmmKp5df,Eyes Wide Open,album,2015-04-10,12,https://open.spotify.com/album/55huyEjfSVsk9nnmmKp5df
3wRHV5fOeUcM5hvYzWZsic,Manchild,single,2025-06-05,1,https://open.spotify.com/album/3wRHV5fOeUcM5hvYzWZsic
0IAo42WYRRTgBtaRUCSMK1,Please Please Please,single,2024-06-18,7,https://open.spotify.com/album/0IAo42WYRRTgBtaRUCSMK1
5bBaoign62r1i7OV8w7mi9,Please Please Please,single,2024-06-06,2,https://open.spotify.com/album/5bBaoign62r1i7OV8w7mi9
29UKCfgIX2fgBff2uSz6qV,Espresso (Working Late Remixes),single,2024-05-31,3,https://open.spotify.com/album/29UKCfgIX2fgBff2uSz6qV
2yIhXdfQKrzp7ENGxxI92c,Espresso EP,single,2024-05-17,6,https://open.spotify.com/album/2yIhXdfQKrzp7ENGxxI92c
5quMTd5zeI9yW5UDua8wS4,Espresso,single,2024-04-12,1,https://open.spotify.com/album/5quMTd5zeI9yW5UDua8wS4
26H0jinpdi0RSrZq90fNMF,You Need Me Now? (feat. Sabrina Carpenter),single,2024-03-22,1,https://open.spotify.com/album/26H0jinpdi0RSrZq90fNMF
7EisdwWcodpmHxgpGVE5Pg,fruitcake,single,2023-11-17,6,https://open.spotify.com/album/7EisdwWcodpmHxgpGVE5Pg
2kJnIPJHIRZlfOx0TZEKBP,Spotify Singles,single,2023-10-18,2,https://open.spotify.com/album/2kJnIPJHIRZlfOx0TZEKBP
0TCgFAC92fkbHe2lJkwZRF,Feather (Sped Up),single,2023-08-04,2,https://open.spotify.com/album/0TCgFAC92fkbHe2lJkwZRF
0TN8dXBkeIqDjVfUV3gPpc,That’s Not How This Works (feat. Dan + Shay & Sabrina Carpenter) [Sabrina’s Version],single,2023-04-14,2,https://open.spotify.com/album/0TN8dXBkeIqDjVfUV3gPpc
1jTN0ud3pW7ATr45S1CdpL,Nonsense (Remix),single,2023-03-23,1,https://open.spotify.com/album/1jTN0ud3pW7ATr45S1CdpL
2D2boDrCPl6idtxpJF6r38,A Nonsense Christmas,single,2022-12-07,2,https://open.spotify.com/album/2D2boDrCPl6idtxpJF6r38
23eBqMqUmcb1wcxuXfYw6k,Nonsense (Sped Up Version),single,2022-11-14,2,https://open.spotify.com/album/23eBqMqUmcb1wcxuXfYw6k
7p3M1cRTouWTpmBDhlEAKS,Vicious,single,2022-07-01,1,https://open.spotify.com/album/7p3M1cRTouWTpmBDhlEAKS
2rR0wpBcmvYpxQd77BWShd,Fast Times,single,2022-02-18,1,https://open.spotify.com/album/2rR0wpBcmvYpxQd77BWShd
39dXXRroxeXJdEMGay4Zos,skinny dipping (Acoustic),single,2021-11-05,2,https://open.spotify.com/album/39dXXRroxeXJdEMGay4Zos
2NbUBAN5Mv7KAacJHOtC49,skinny dipping,single,2021-09-09,1,https://open.spotify.com/album/2NbUBAN5Mv7KAacJHOtC49
5kxJROPwGs1X92WrcMXkdt,Skin (Quarterhead Remix),single,2021-02-26,1,https://open.spotify.com/album/5kxJROPwGs1X92WrcMXkdt
6JISV6SiJtQnIsNC6OVpUf,Skin,single,2021-01-22,1,https://open.spotify.com/album/6JISV6SiJtQnIsNC6OVpUf
6LGAFuDtpOFLOU2UhGGbg4,Clouds (with Sabrina Carpenter),single,2020-10-09,1,https://open.spotify.com/album/6LGAFuDtpOFLOU2UhGGbg4
1RE0ZZJkxSZXdkNac4lcJD,WOW (feat. Sabrina Carpenter) [Remix],single,2020-09-25,1,https://open.spotify.com/album/1RE0ZZJkxSZXdkNac4lcJD
3Ytt3q5EhvSCbvCTrVkz11,Let Me Move You (From the Netflix film Work It),single,2020-07-24,1,https://open.spotify.com/album/3Ytt3q5EhvSCbvCTrVkz11
1Jur7yH65lqd3d4IH66uEf,Honeymoon Fades,single,2020-02-14,1,https://open.spotify.com/album/1Jur7yH65lqd3d4IH66uEf
1ODOCRQWwjfJRqJ34RtrKa,On My Way (Da Tweekaz Remix),single,2019-06-25,1,https://open.spotify.com/album/1ODOCRQWwjfJRqJ34RtrKa
1xbFduKsdGu9oRbhKH6puf,Sue Me (A Cappella),single,2019-03-22,1,https://open.spotify.com/album/1xbFduKsdGu9oRbhKH6puf
1bcvtuHyO79DNAOOhHEkEm,On My Way,single,2019-03-21,1,https://open.spotify.com/album/1bcvtuHyO79DNAOOhHEkEm
6WZNqfmrunSLlgesOaPC5I,Sue Me (Remixes),single,2019-01-18,5,https://open.spotify.com/album/6WZNqfmrunSLlgesOaPC5I
3lcQDXWOoIxMH8gEQzeETn,Almost Love (Stargate Warehouse Mix),single,2018-09-28,1,https://open.spotify.com/album/3lcQDXWOoIxMH8gEQzeETn
4AICAv06yCiu66i4TOPWgO,Almost Love,single,2018-08-24,3,https://open.spotify.com/album/4AICAv06yCiu66i4TOPWgO
1wLllFkWq0hxBsCJ8hmCUd,Almost Love (R3HAB Remix),single,2018-07-13,1,https://open.spotify.com/album/1wLllFkWq0hxBsCJ8hmCUd
6lA3p7IHcwFXjdy08QkGWS,Alien (Acoustic),single,2018-05-11,1,https://open.spotify.com/album/6lA3p7IHcwFXjdy08QkGWS
0960lqbJIkGdYJ97UGY9My,Alien (M-22 Remix),single,2018-04-13,1,https://open.spotify.com/album/0960lqbJIkGdYJ97UGY9My
4mswsu3o2Bt2vYkXK9nKtC,Alien (Dark Heart Remix),single,2018-04-13,1,https://open.spotify.com/album/4mswsu3o2Bt2vYkXK9nKtC
3LXVxMUrioKZcoheV2zT3u,Alien,single,2018-03-16,1,https://open.spotify.com/album/3LXVxMUrioKZcoheV2zT3u
0PRCtct3H4TvrHdVBhKKxc,First Love (Remixes),single,2017-12-01,3,https://open.spotify.com/album/0PRCtct3H4TvrHdVBhKKxc
3oAvhwkc4AwieC8QHaEgVi,Why (Acoustic),single,2017-11-03,1,https://open.spotify.com/album/3oAvhwkc4AwieC8QHaEgVi
78ghmfG83tQUF43coZ6FiH,Have Yourself a Merry Little Christmas,single,2017-10-27,1,https://open.spotify.com/album/78ghmfG83tQUF43coZ6FiH
7syMmofF2t1xI0RFCtrSG9,First Love,single,2017-10-13,1,https://open.spotify.com/album/7syMmofF2t1xI0RFCtrSG9
55QjSqhCofvsx559gCIMI7,Why,single,2017-07-07,1,https://open.spotify.com/album/55QjSqhCofvsx559gCIMI7
3ztD4sCnTmP4ntaIoAJTwC,Sign of the Times,single,2017-06-02,1,https://open.spotify.com/album/3ztD4sCnTmP4ntaIoAJTwC
