Song Title;Streams;Daily
Espresso;2,671,156,403;1,939,433
Please Please Please;1,682,319,800;1,220,591
Nonsense;1,457,023,560;693,009
Taste;1,306,587,185;1,248,073
Feather;1,027,765,024;592,705
* On My Way;847,811,400;364,357
Bed Chem;735,160,092;770,391
Manchild;569,196,146;2,137,289
Juno;564,056,303;842,845
because i liked a boy;460,285,568;346,968
Looking at Me;427,705,871;203,42
Good Graces;404,274,648;341,903
Thumbs;374,055,191;130,133
Busy Woman;335,522,950;751,038
Sue Me;283,379,120;55,65
Tears;270,037,464;1,655,313
Coincidence;237,388,444;232,974
Skin;228,030,070;43,698
When Did You Get Hot?;221,514,909;1,441,141
Read your Mind;220,366,341;206,588
Don’t Smile;209,586,463;457,323
Sharpest Tool;201,295,339;208,74
* The Life of a Showgirl (feat. Sabrina Carpenter);180,430,507;1,046,399
Why;177,375,458;26,883
emails i can’t send;173,635,598;113,161
Slim Pickins;173,458,542;152,055
Nobody’s Son;165,103,501;996,303
A Nonsense Christmas;158,087,575;1,102,597
15 Minutes;144,472,213;308,481
* Hands;143,937,029;4,365
Dumb & Poetic;139,057,201;128,476
Vicious;136,309,705;60,975
House Tour;132,991,219;800,972
Lie To Girls;127,441,268;109,575
"Let Me Move You - From the Netflix film ""Work It""";121,096,494;11,538
Fast Times;115,750,003;100,162
My Man on Willpower;109,905,890;536,666
* WOW (feat. Sabrina Carpenter) - Remix;108,562,675;38,435
opposite;105,320,760;94,783
Go Go Juice;104,301,717;483,413
Alien;104,269,308;7,998
Already Over;98,615,619;63,309
Goodbye;98,173,968;441,768
Sugar Talking;97,467,744;439,479
Tornado Warnings;90,915,221;93,707
Never Getting Laid;81,182,417;360,995
santa doesn’t know you like i do;80,015,749;534,925
Can't Blame a Girl for Trying;78,532,590;14,15
We Almost Broke Up Again Last Night;75,294,009;322,542
skinny dipping;72,180,233;37,395
bet u wanna;70,523,034;63,701
Paris;68,030,833;34,578
Don’t Worry I’ll Make You Worry;66,821,068;291,178
Couldn’t Make It Any Harder;66,331,574;136,207
Exhale;65,017,000;23,08
* You Need Me Now? (feat. Sabrina Carpenter);61,915,561;38,178
decode;59,254,627;58,622
On Purpose;58,733,601;14,915
Eyes Wide Open;58,647,065;8,829
* First Love;57,247,258;2,697
Bad Reviews;56,899,973;100,074
* That’s Not How This Works (feat. Dan + Shay & Sabrina Carpenter) - Sabrina’s Version;55,964,310;41,77
things i wish you said;55,581,709;65,215
Almost Love;52,423,661;9,114
Bad for Business;52,322,298;45,153
Nonsense - Sped Up Version;51,367,764;7,137
"* Take On the World - Theme Song From ""Girl Meets World""";49,042,167;11,866
how many things;47,115,249;33,019
* On My Way - Da Tweekaz Remix;45,361,938;6,955
In My Bed;44,977,737;6,773
cindy lou who;41,066,563;199,731
* Clouds (with Sabrina Carpenter);40,410,918;6,089
Smoke and Fire;37,009,285;4,751
* Cupid – Twin Ver. (feat. Sabrina Carpenter);36,695,367;45,354
buy me presents;36,190,911;273,41
Lonesome;34,963,668;33,837
We'll Be The Stars;34,953,600;4,709
I Knew You Were Trouble - Spotify Singles;33,158,792;11,848
Honeymoon Fades;30,358,233;11,252
Feather - Sped Up;30,211,875;7,364
I'm Fakin;29,672,792;5,213
* You’re A Mean One, Mr. Grinch;29,524,011;63,711
Espresso - Mark Ronson x FNZ Working Late Remix;26,813,004;37,432
is it new years yet?;25,445,772;162,743
Mona Lisa;25,038,762;8,487
The Middle of Starting Over;24,783,255;4,289
Christmas the Whole Year Round;23,867,241;90,786
Please Please Please (feat. Dolly Parton);22,972,691;21,264
Pushing 20;22,021,911;5,127
Too Young;21,754,538;3,252
* Sign of the Times;20,834,237;1,742
Diamonds Are Forever;18,154,801;6,073
Shadows;18,110,407;3,898
I Can't Stop Me;17,722,385;3,854
Seamless;16,973,247;2,999
white xmas;16,354,657;143,445
Bad Time;16,267,566;4,91
prfct;15,874,384;5,328
Run and Hide;15,815,892;3,468
Your Love's Like;13,741,409;2,767
All We Have Is Love;13,144,097;2,641
* What a Girl Wants - ft. Sabrina Carpenter - Live - Spotify Anniversaries Version;13,117,407;4,728
A Dream is a Wish Your Heart Makes/So This is Love;12,923,271;1,923
* Fix Me Up (with Sabrina Carpenter);12,900,028;2,24
Best Thing I Got;11,619,819;2,085
Feels Like Loneliness;11,269,558;2,631
Don't Want It Back;9,502,271;2,844
Two Young Hearts;9,489,470;2,292
Hold Tight;9,326,199;3,698
Espresso - Espressooooo Version;9,321,152;10,193
White Flag;8,915,828;1,938
No Words;8,780,191;2,524
Tell Em;8,503,394;3,8
Have Yourself a Merry Little Christmas;8,425,957;50,925
Nonsense (with Coi Leray) - Remix;8,329,542;2,091
Espresso - Double Shot Version;8,258,180;3,315
Mirage;8,184,505;2,704
Darling I'm a Mess;7,742,604;1,752
Space;7,649,675;2,185
* On My Way - Slowed Remix;7,381,798;8,82
Take Off All Your Cool;7,221,216;3,198
Right Now;7,076,276;1,927
Take You Back;7,049,934;3,042
Almost Love - R3HAB Remix;6,063,084;612
Please Please Please - Acoustic;5,189,437;3,121
skinny dipping - Acoustic;4,901,449;1,652
How To Go To Confession;4,463,338;857
Feather - Spotify Singles;3,983,426;1,7
Thumbs - Acoustic;3,861,259;762
Espresso - Decaf Version;3,622,325;3,381
Why - Acoustic;3,460,166;827
"* Take On the World - From ""Girl Meets World""/Summer Remix/Music from the TV Series";3,453,658;720
"Stand Out - From ""How to Build a Better Boy""";3,414,833;365
Espresso - Mark Ronson x FNZ Working Later Remix;3,298,592;2,404
Silver Nights;3,252,377;11,491
Blueberries;3,173,667;597
Alien - Acoustic;3,100,126;548
Skin - Quarterhead Remix;2,990,362;657
* Santa Claus Is Coming To Town - Live At Jingleball, New York / 2016;2,901,935;6,014
Please Please Please - Sped Up;2,679,061;1,038
Sue Me - A Cappella;2,397,431;726
Espresso - On Vacation Version;2,021,570;1,408
* First Love - SAVI Remix;1,772,791;187
Almost Love;1,637,105;271
Espresso - Mochapella Version;1,573,230;847
Almost Love - Stargate Warehouse Mix;1,474,288;352
Alien - M-22 Remix;1,262,579;321
Please Please Please - A cappella;1,254,305;781
Please Please Please - Slowed Down;1,183,778;454
Please Please Please - Instrumental;999,919;1,986
Almost Love - Acoustic;798,964;413
Alien - Dark Heart Remix;706,499;262
* First Love - Ashworth Remix;688,716;215
* I'll Be Home For Christmas;659,848;4,142
Sue Me - 6am Remix;546,274;217
Sue Me - Dave Audé Remix;519,875;321
* First Love - TELYKast Remix;467,951;193
Sue Me - Marian Hill Remix;403,086;209
Sue Me - KC Lights Remix;378,171;224
